16631961000119101	Endovascular insertion of inferior vena cava filter using imaging guidance (procedure)	bildvägledd endovaskulär insättning av filter i vena cava inferior
16561811000119107	Magnetic resonance imaging of internal auditory meatus without contrast (procedure)	magnetresonanstomografi av meatus acusticus internus utan kontrast
16559801000119103	Aspiration of cyst of spinal synovium using computed tomography guidance (procedure)	DT-vägledd aspiration från cysta i synovialhinna i ryggraden
16559741000119107	Percutaneous needle biopsy of cyst of spinal cord using computed tomography guidance (procedure)	DT-vägledd perkutan nålbiopsi från cysta i ryggmärgen
16559621000119108	Biopsy of neck using computed tomography guidance (procedure)	DT-vägledd biopsi från halsen
16559321000119100	Fine needle aspiration biopsy of abdomen using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från buken
16559261000119101	Fine needle aspiration biopsy of pseudocyst of pancreas using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från pseudocysta i pankreas
16559201000119102	Percutaneous needle biopsy of mass of abdomen using computed tomography guidance (procedure)	DT-vägledd perkutan nålbiopsi från resistens i buken
16559141000119108	Fine needle aspiration biopsy of pelvis using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från bäckenet
16559081000119104	Cryoablation of lesion of lung using computed tomography guidance (procedure)	DT-vägledd kryoablation av lesion i lunga
16559021000119103	Fine needle aspiration biopsy of spleen using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från mjälten
16558961000119100	Needle aspiration of bursa of right knee using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i höger knä
16558901000119101	Needle aspiration of bursa of right shoulder bursa using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i höger axel
16558841000119108	Needle aspiration of bursa of left shoulder using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i vänster axel
16558781000119107	Needle aspiration of bursa of left hip using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i vänster höft
16558721000119108	Needle aspiration of bursa of right hip using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i höger höft
16558661000119106	Needle aspiration of bursa of left knee using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i vänster knä
16558601000119105	Needle aspiration of bursa of right ankle using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i höger fotled
16558541000119106	Needle aspiration of bursa of left ankle using computed tomography guidance (procedure)	DT-vägledd nålaspiration från bursa i vänster fotled
16558481000119100	Percutaneous cryoablation of lesion of liver using computed tomography guidance (procedure)	DT-vägledd perkutan kryoablation av skada på levern
16557031000119108	Needle biopsy of thyroid using fluoroscopic guidance (procedure)	nålbiopsi från sköldkörteln under röntgengenomlysning
16555611000119103	Therapeutic injection of left shoulder using fluoroscopic guidance (procedure)	terapeutisk injektion i vänster axel under röntgengenomlysning
16555561000119101	Therapeutic injection of right shoulder using fluoroscopic guidance (procedure)	terapeutisk injektion i höger axel under röntgengenomlysning
16555501000119102	Injection of celiac plexus using computed tomography guidance (procedure)	DT-vägledd injektion i plexus coeliacus
16555451000119104	Therapeutic injection of left knee using fluoroscopic guidance (procedure)	terapeutisk injektion i vänster knä under röntgengenomlysning
16555401000119103	Therapeutic injection of left hip using fluoroscopic guidance (procedure)	terapeutisk injektion i vänster höft under röntgengenomlysning
16554721000119102	Single photon emission computed tomography for localization of inflammation (procedure)	SPECT för lokalisering av inflammation
16554571000119106	Single photon emission computed tomography with computed tomography for localization of inflammation (procedure)	SPECT med datortomografi för lokalisering av tumör
16554511000119103	Single photon emission computed tomography using gallium radiolabeled white blood cells for localization of inflammation (procedure)	SPECT med galliummärkta vita blodkroppar för lokalisering av inflammation
16554411000119104	Positron emission tomography with computed tomography of heart (procedure)	positronemissionstomografi med datortomografi av hjärtat
16554361000119106	Positron emission tomography with computed tomography of brain (procedure)	positronemissionstomografi med datortomografi av hjärnan
16554061000119109	Computed tomography myelogram of lumbosacral spine with lumbar injection of contrast (procedure)	DT-myelografi av lumbosakrala ryggraden med lumbal injektion av kontrastmedel
16553961000119107	Single photon emission computed tomography of whole body for localization of abscess (procedure)	SPECT av hela kroppen för lokalisering av abscess
16553741000119105	Radionuclide scan of whole body for localization of inflammation (procedure)	helkroppsskintigrafi för lokalisering av inflammation
16552301000119102	Single photon emission computed tomography of whole body for localization of neoplasm (procedure)	SPECT av hela kroppen för lokalisering av tumör
16551341000119105	Puncture aspiration of lung using computed tomography guidance (procedure)	DT-vägledd punktion och aspiration i lunga
16551241000119104	Needle puncture and aspiration of lesion of left lower leg using computed tomography guidance (procedure)	DT-vägledd nålpunktion och aspiration från skada i vänster underben
16551191000119104	Fine needle aspiration biopsy of chest using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från bröstkorgen
16551141000119107	Fine needle aspiration biopsy of joint of right hip using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från höger höftled
16551091000119100	Fine needle aspiration biopsy of joint of left hip using computed tomography guidance (procedure)	DT-vägledd finnålsbiopsi från vänster höftled
16551041000119108	Needle puncture and aspiration of lesion of right lower leg using computed tomography guidance (procedure)	DT-vägledd nålpunktion och aspiration från skada i höger underben
16550981000119107	Percutaneous needle biopsy of muscle using computed tomography guidance (procedure)	DT-vägledd perkutan nålbiopsi från muskel
16550201000119105	Percutaneous cryoablation of neoplasm of left kidney using computed tomography guidance (procedure)	DT-vägledd perkutan kryoablation av tumör i vänster njure
16550151000119102	Percutaneous cryoablation of neoplasm of right kidney using computed tomography guidance (procedure)	DT-vägledd perkutan kryoablation av tumör i höger njure
16550101000119101	Radiofrequency ablation of lesion of right kidney using computed tomography guidance (procedure)	DT-vägledd radiofrekvensablation av lesion på höger njure
16550051000119101	Radiofrequency ablation of lesion of left kidney using computed tomography guidance (procedure)	DT-vägledd radiofrekvensablation av lesion på vänster njure
16550001000119100	Drainage of lesion of pelvis using computed tomography guidance (procedure)	DT-väglett dränage av lesion i bäckenet
16549891000119107	Percutaneous needle biopsy of adrenal gland using computed tomography guidance (procedure)	DT-vägledd perkutan nålbiopsi från binjure
