Concept ID	GB/US FSN Term (For reference only)	Translated Term	Language Code	Case significance	Type	Language reference set	Acceptability	Language reference set	Acceptability	Language reference set	Acceptability
991000221105	Vaccine product containing only Vibrio cholerae antigen (medicinal product)	läkemedel som endast innehåller antigen från Vibrio cholerae	sv	cI	SYNONYM	Swedish	PREFERRED
981000221107	Vaccine product containing only Streptococcus pneumoniae antigen (medicinal product)	läkemedel som endast innehåller antigen från Streptococcus pneumoniae	sv	cI	SYNONYM	Swedish	PREFERRED
971000221109	Vaccine product containing only live attenuated Salmonella enterica subspecies enterica serovar Typhi antigen in oral dose form (medicinal product form)	läkemedel som endast innehåller antigen från levande försvagad Salmonella enterica, underart enterica serovar typhi, oral läkemedelsform	sv	cI	SYNONYM	Swedish	PREFERRED
91000221102	Vaccine product containing only inactivated whole Hepatitis A virus antigen (medicinal product)	läkemedel som endast innehåller antigen från inaktiverat hepatit A-virus	sv	cI	SYNONYM	Swedish	PREFERRED
871923007	Vaccine product containing Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens (medicinal product)	läkemedel som innehåller antigen från Bordetella pertussis, antigen från Haemophilus influenzae typ B, antigen från inaktiverat toxin från Clostridium tetani, antigen från inaktiverat toxin från Corynebacterium diphtheriae, antigen från poliovirus och hepatit B-antigen	sv	cI	SYNONYM	Swedish	PREFERRED
871928003	Vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus and Measles morbillivirus antigens (medicinal product)	läkemedel som endast innehåller antigen från Bordetella pertussis, antigen från Clostridium tetani, antigen från Corynebacterium diphtheriae, antigen från mässlingvirus och antigen från poliovirus	sv	cI	SYNONYM	Swedish	PREFERRED
921000221108	Vaccine product containing only Neisseria meningitidis antigen (medicinal product)	läkemedel som endast innehåller antigen från Neisseria meningitidis	sv	cI	SYNONYM	Swedish	PREFERRED
871916006	Vaccine product containing only Neisseria meningitidis serogroup A, C, W135 and Y capsular oligosaccharide conjugated antigens (medicinal product)	läkemedel som endast innehåller antigen, kapseloligosackarid från Neisseria meningitidis, serogrupp A, konjugerat, antigen, kapseloligosackarid från Neisseria meningitidis, serogrupp C, konjugerat, antigen, kapseloligosackarid från Neisseria meningitidis, serogrupp W135, konjugerat och antigen, kapseloligosackarid från Neisseria meningitidis, serogrupp Y, konjugerat	sv	cI	SYNONYM	Swedish	PREFERRED
961000221100	Vaccine product containing only Salmonella enterica subspecies enterica serovar Typhi antigen (medicinal product)	läkemedel som endast innehåller antigen från Salmonella enterica, underart enterica serovar typhi	sv	cI	SYNONYM	Swedish	PREFERRED
871918007	Vaccine product containing Rickettsia antigen (medicinal product)	läkemedel som innehåller rickettsiaantigen	sv	ci	SYNONYM	Swedish	PREFERRED
